1/3	24	[4, 6]	2
1/3	378	[6, 7, 9]	3
1/3	480	[5, 8, 12]	3
1/3	504	[7, 8, 9]	3
1/3	540	[5, 9, 12]	3
1/3	600	[4, 10, 15]	3
1/3	660	[5, 11, 12]	3
1/3	720	[5, 8, 18]	3
1/3	720	[5, 9, 16]	3
1/3	840	[4, 10, 21]	3
1/3	840	[4, 14, 15]	3
1/3	840	[5, 8, 21]	3
1/3	936	[4, 13, 18]	3
1/3	1260	[5, 7, 36]	3
1/3	1320	[4, 11, 30]	3
1/3	1404	[4, 13, 27]	3
1/3	1980	[4, 11, 45]	3
1/3	7200	[6, 8, 10, 15]	4
1/3	9450	[7, 9, 10, 15]	4
1/3	9900	[6, 10, 11, 15]	4
1/3	10560	[6, 8, 11, 20]	4
1/3	10560	[6, 10, 11, 16]	4
1/3	10800	[6, 8, 9, 25]	4
1/3	13860	[7, 10, 11, 18]	4
1/3	15120	[5, 12, 14, 18]	4
1/3	15120	[7, 9, 10, 24]	4
1/3	15180	[6, 10, 11, 23]	4
1/3	17640	[5, 12, 14, 21]	4
1/3	19656	[7, 8, 13, 27]	4
1/3	20160	[5, 14, 16, 18]	4
1/3	20160	[7, 9, 10, 32]	4
1/3	21120	[5, 11, 16, 24]	4
1/3	21168	[4, 14, 18, 21]	4
1/3	22680	[5, 9, 21, 24]	4
1/3	23760	[5, 11, 18, 24]	4
1/3	26460	[5, 9, 21, 28]	4
1/3	27720	[5, 11, 21, 24]	4
1/3	27720	[7, 8, 11, 45]	4
1/3	28080	[5, 13, 16, 27]	4
1/3	29040	[4, 10, 22, 33]	4
1/3	29232	[4, 14, 18, 29]	4
1/3	30240	[5, 9, 24, 28]	4
1/3	30360	[5, 11, 23, 24]	4
1/3	31680	[5, 11, 16, 36]	4
1/3	31680	[5, 11, 18, 32]	4
1/3	31752	[4, 14, 21, 27]	4
1/3	32400	[4, 10, 18, 45]	4
1/3	33480	[5, 9, 24, 31]	4
1/3	34104	[4, 14, 21, 29]	4
1/3	36936	[4, 18, 19, 27]	4
1/3	36960	[5, 11, 16, 42]	4
1/3	37440	[5, 8, 26, 36]	4
1/3	38880	[5, 8, 27, 36]	4
1/3	40320	[5, 9, 28, 32]	4
1/3	40560	[5, 8, 26, 39]	4
1/3	41040	[4, 10, 18, 57]	4
1/3	41040	[4, 15, 18, 38]	4
1/3	43560	[4, 15, 22, 33]	4
1/3	43848	[4, 18, 21, 29]	4
1/3	43920	[4, 10, 18, 61]	4
1/3	44640	[5, 8, 31, 36]	4
1/3	44640	[5, 9, 31, 32]	4
1/3	48600	[4, 10, 27, 45]	4
1/3	48720	[4, 10, 29, 42]	4
1/3	51000	[4, 10, 25, 51]	4
1/3	51000	[4, 15, 25, 34]	4
1/3	53352	[4, 19, 26, 27]	4
1/3	55440	[5, 11, 14, 72]	4
1/3	55800	[4, 10, 31, 45]	4
1/3	56160	[5, 8, 26, 54]	4
1/3	56160	[5, 8, 27, 52]	4
1/3	58800	[4, 10, 14, 105]	4
1/3	59280	[5, 8, 38, 39]	4
