# 
# [int(line.split("\t")[1]) for line in open("sequence 1_2.txt").readlines() if not line.startswith("#")]
# 
1/2	2	[2]	2
1/2	12	[3, 4]	2
1/2	168	[3, 7, 8]	3
1/2	240	[3, 5, 16]	3
1/2	6720	[3, 7, 10, 32]	4
1/2	13440	[3, 5, 28, 32]	4
1/2	14880	[3, 5, 31, 32]	4
1/2	65280	[3, 5, 17, 256]	4
1/2	549120	[3, 10, 11, 13, 128]	5
1/2	591360	[3, 7, 11, 32, 80]	5
1/2	591360	[3, 7, 11, 40, 64]	5
1/2	833280	[3, 7, 10, 62, 64]	5
1/2	954240	[3, 7, 10, 64, 71]	5
1/2	1145760	[3, 7, 11, 32, 155]	5
1/2	1317120	[3, 5, 32, 49, 56]	5
1/2	1666560	[3, 5, 31, 56, 64]	5
1/2	1908480	[3, 5, 28, 64, 71]	5
1/2	2143680	[3, 7, 11, 29, 320]	5
1/2	2204160	[3, 7, 10, 41, 256]	5
1/2	3655680	[3, 7, 10, 34, 512]	5
1/2	3886080	[3, 5, 23, 64, 176]	5
1/2	4408320	[3, 5, 28, 41, 256]	5
1/2	6990720	[3, 5, 22, 64, 331]	5
1/2	8094720	[3, 5, 31, 34, 512]	5
1/2	17149440	[5, 6, 7, 11, 29, 256]	6
1/2	25259520	[3, 5, 23, 52, 1408]	5
1/2	39443712	[3, 7, 22, 23, 29, 128]	6
1/2	39621120	[3, 10, 11, 14, 67, 128]	6
1/2	58490880	[3, 5, 17, 448, 512]	5
1/2	61501440	[3, 7, 20, 22, 26, 256]	6
1/2	64757760	[3, 5, 17, 496, 512]	5
1/2	66324480	[3, 5, 17, 508, 512]	5
1/2	66716160	[3, 5, 17, 511, 512]	5
1/2	68597760	[3, 7, 20, 22, 29, 256]	6
1/2	81070080	[3, 10, 13, 14, 29, 512]	6
1/2	89041920	[3, 5, 17, 341, 1024]	5
1/2	99939840	[3, 7, 11, 52, 64, 130]	6
1/2	99939840	[3, 7, 11, 64, 65, 104]	6
1/2	101122560	[5, 6, 9, 11, 14, 19, 128]	7
1/2	118272000	[3, 7, 11, 50, 64, 160]	6
1/2	130099200	[3, 7, 10, 55, 64, 176]	6
1/2	133425600	[3, 7, 11, 38, 95, 160]	6
1/2	142195200	[3, 7, 10, 64, 92, 115]	6
1/2	152494080	[3, 5, 17, 292, 2048]	5
1/2	187031040	[3, 5, 49, 56, 64, 71]	6
1/2	209932800	[3, 7, 11, 50, 71, 256]	6
1/2	229152000	[3, 7, 11, 50, 64, 310]	6
1/2	236651520	[3, 7, 10, 71, 124, 128]	6
1/2	246005760	[3, 10, 11, 13, 224, 256]	6
1/2	262416000	[3, 7, 11, 50, 64, 355]	6
